"Column Name","Label"
"S2403_C04_020M","Female!!Margin of Error!!Educational services, and health care and social assistance"
"S2403_C05_020E","Percent Female!!Estimate!!Educational services, and health care and social assistance"
"S2403_C05_020M","Percent Female!!Margin of Error!!Educational services, and health care and social assistance"
"S2403_C01_021E","Total!!Estimate!!Educational services, and health care and social assistance!!Educational services"
"S2403_C01_021M","Total!!Margin of Error!!Educational services, and health care and social assistance!!Educational services"
"S2403_C02_021E","Male!!Estimate!!Educational services, and health care and social assistance!!Educational services"
"S2403_C02_021M","Male!!Margin of Error!!Educational services, and health care and social assistance!!Educational services"
"S2403_C03_021E","Percent Male!!Estimate!!Educational services, and health care and social assistance!!Educational services"
"S2403_C03_021M","Percent Male!!Margin of Error!!Educational services, and health care and social assistance!!Educational services"
"S2403_C04_021E","Female!!Estimate!!Educational services, and health care and social assistance!!Educational services"
"S2403_C04_021M","Female!!Margin of Error!!Educational services, and health care and social assistance!!Educational services"
"S2403_C05_021E","Percent Female!!Estimate!!Educational services, and health care and social assistance!!Educational services"
"S2403_C05_021M","Percent Female!!Margin of Error!!Educational services, and health care and social assistance!!Educational services"
"S2403_C01_022E","Total!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C01_022M","Total!!Margin of Error!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C02_022E","Male!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C02_022M","Male!!Margin of Error!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C03_022E","Percent Male!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C03_022M","Percent Male!!Margin of Error!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C04_022E","Female!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C04_022M","Female!!Margin of Error!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C05_022E","Percent Female!!Estimate!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C05_022M","Percent Female!!Margin of Error!!Educational services, and health care and social assistance!!Health care and social assistance"
"S2403_C01_023E","Total!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C01_023M","Total!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C02_023E","Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C02_023M","Male!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C03_023E","Percent Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C03_023M","Percent Male!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C04_023E","Female!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C04_023M","Female!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C05_023E","Percent Female!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C05_023M","Percent Female!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services"
"S2403_C01_024E","Total!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C01_024M","Total!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C02_024E","Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C02_024M","Male!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C03_024E","Percent Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C03_024M","Percent Male!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C04_024E","Female!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C04_024M","Female!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C05_024E","Percent Female!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C05_024M","Percent Female!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Arts, entertainment, and recreation"
"S2403_C01_025E","Total!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C01_025M","Total!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C02_025E","Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C02_025M","Male!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C03_025E","Percent Male!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C03_025M","Percent Male!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C04_025E","Female!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C04_025M","Female!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C05_025E","Percent Female!!Estimate!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C05_025M","Percent Female!!Margin of Error!!Arts, entertainment, and recreation, and accommodation and food services!!Accommodation and food services"
"S2403_C01_026E","Total!!Estimate!!Other services, except public administration"
"S2403_C01_026M","Total!!Margin of Error!!Other services, except public administration"
"S2403_C02_026E","Male!!Estimate!!Other services, except public administration"
"S2403_C02_026M","Male!!Margin of Error!!Other services, except public administration"
"S2403_C03_026E","Percent Male!!Estimate!!Other services, except public administration"
"S2403_C03_026M","Percent Male!!Margin of Error!!Other services, except public administration"
"S2403_C04_026E","Female!!Estimate!!Other services, except public administration"
"S2403_C04_026M","Female!!Margin of Error!!Other services, except public administration"
"S2403_C05_026E","Percent Female!!Estimate!!Other services, except public administration"
"S2403_C05_026M","Percent Female!!Margin of Error!!Other services, except public administration"
"S2403_C01_027E","Total!!Estimate!!Public administration"
"S2403_C01_027M","Total!!Margin of Error!!Public administration"
"S2403_C02_027E","Male!!Estimate!!Public administration"
"S2403_C02_027M","Male!!Margin of Error!!Public administration"
"S2403_C03_027E","Percent Male!!Estimate!!Public administration"
"S2403_C03_027M","Percent Male!!Margin of Error!!Public administration"
"S2403_C04_027E","Female!!Estimate!!Public administration"
"S2403_C04_027M","Female!!Margin of Error!!Public administration"
"S2403_C05_027E","Percent Female!!Estimate!!Public administration"
"S2403_C05_027M","Percent Female!!Margin of Error!!Public administration"
